agents.sas7bdat.bz2,4096,4096
applican.sas7bdat.bz2,4096,8192
bank8dte.sas7bdat.bz2,16384,24576
bank8dtr.sas7bdat.bz2,24576,49152
banks.sas7bdat.bz2,4096,53248
beef.sas7bdat.bz2,4096,57344
big8.sas7bdat.bz2,4096,61440
born.sas7bdat.bz2,4096,65536
branches.sas7bdat.bz2,4096,69632
candyinfo.sas7bdat.bz2,4096,73728
candy.sas7bdat.bz2,4096,77824
capital2003.sas7bdat.bz2,24576,102400
capital2004.sas7bdat.bz2,24576,126976
capital2005.sas7bdat.bz2,20480,147456
cars.sas7bdat.bz2,4096,151552
cereal.sas7bdat.bz2,8192,159744
cfrance2.sas7bdat.bz2,8192,167936
cfrance.sas7bdat.bz2,61440,229376
cities1.sas7bdat.bz2,4096,233472
cities2.sas7bdat.bz2,4096,237568
colon.sas7bdat.bz2,94208,331776
contributedrevenue2003.sas7bdat.bz2,8192,339968
contributedrevenue2004.sas7bdat.bz2,8192,348160
contributedrevenue2005.sas7bdat.bz2,8192,356352
cookie.sas7bdat.bz2,4096,360448
corptrn.sas7bdat.bz2,4096,364544
coutline.sas7bdat.bz2,24576,389120
daysales.sas7bdat.bz2,4096,393216
depress.sas7bdat.bz2,4096,397312
dermatology.sas7bdat.bz2,8192,405504
donate.sas7bdat.bz2,4096,409600
drugprob.sas7bdat.bz2,208896,618496
drugtest.sas7bdat.bz2,24576,643072
dupsals.sas7bdat.bz2,4096,647168
elements.sas7bdat.bz2,4096,651264
elongated.sas7bdat.bz2,4096,655360
empsals.sas7bdat.bz2,4096,659456
environ.sas7bdat.bz2,12288,671744
event1.sas7bdat.bz2,4096,675840
event2.sas7bdat.bz2,12288,688128
event3.sas7bdat.bz2,16384,704512
event4.sas7bdat.bz2,20480,724992
ex8_1.sas7bdat.bz2,4096,729088
eyecarex.sas7bdat.bz2,1921024,2650112
f2002be2.sas7bdat.bz2,4096,2654208
ffhistory.sas7bdat.bz2,4096,2658304
ffmethod.sas7bdat.bz2,4096,2662400
Final_Candy.sas7bdat.bz2,4096,2666496
firo.sas7bdat.bz2,16384,2682880
firstsex.sas7bdat.bz2,8192,2691072
fish.sas7bdat.bz2,12288,2703360
flightdelays.sas7bdat.bz2,4096,2707456
flightschedule.sas7bdat.bz2,4096,2711552
fltat1.sas7bdat.bz2,4096,2715648
fltspts.sas7bdat.bz2,4096,2719744
flydays.sas7bdat.bz2,4096,2723840
flymiles.sas7bdat.bz2,4096,2727936
freqflyers.sas7bdat.bz2,4096,2732032
frequentflyers.sas7bdat.bz2,12288,2744320
gamblegrp.sas7bdat.bz2,4096,2748416
gfrance2.sas7bdat.bz2,4096,2752512
gfrance.sas7bdat.bz2,24576,2777088
goutline.sas7bdat.bz2,12288,2789376
gpa.sas7bdat.bz2,4096,2793472
grade.sas7bdat.bz2,4096,2797568
growth.sas7bdat.bz2,4096,2801664
gss96.sas7bdat.bz2,40960,2842624
hltheds2006.sas7bdat.bz2,12288,2854912
hotel.sas7bdat.bz2,4096,2859008
ilr2003.sas7bdat.bz2,61440,2920448
ilr2004.sas7bdat.bz2,65536,2985984
ilr2005.sas7bdat.bz2,61440,3047424
internationalflights.sas7bdat.bz2,4096,3051520
iris.sas7bdat.bz2,4096,3055616
loansclosed2003.sas7bdat.bz2,12288,3067904
loansclosed2004.sas7bdat.bz2,12288,3080192
loansclosed2005.sas7bdat.bz2,8192,3088384
mammals.sas7bdat.bz2,8192,3096576
marchflights.sas7bdat.bz2,12288,3108864
mathattitudes.sas7bdat.bz2,16384,3125248
maysales.sas7bdat.bz2,4096,3129344
mechanicslevel1.sas7bdat.bz2,4096,3133440
mechanicslevel2.sas7bdat.bz2,4096,3137536
mechanicslevel3.sas7bdat.bz2,4096,3141632
military.sas7bdat.bz2,4096,3145728
natlterr1994.sas7bdat.bz2,1118208,4263936
natlterr2006.sas7bdat.bz2,860160,5124096
ncaa.sas7bdat.bz2,8192,5132288
noday.sas7bdat.bz2,4096,5136384
ocd.sas7bdat.bz2,4096,5140480
orange.sas7bdat.bz2,4096,5144576
orgprofile.sas7bdat.bz2,49152,5193728
payrollchanges.sas7bdat.bz2,4096,5197824
payrollmaster.sas7bdat.bz2,4096,5201920
pcen_v2009_y09.sas7bdat.bz2,10555392,15757312
pen.sas7bdat.bz2,4096,15761408
people.sas7bdat.bz2,4096,15765504
personae.sas7bdat.bz2,4096,15769600
phones.sas7bdat.bz2,4096,15773696
physeds2006.sas7bdat.bz2,12288,15785984
pizza.sas7bdat.bz2,8192,15794176
pizzazz.sas7bdat.bz2,57344,15851520
police.sas7bdat.bz2,4096,15855616
poor.sas7bdat.bz2,4096,15859712
popmort.sas7bdat.bz2,36864,15896576
portfolio2003.sas7bdat.bz2,12288,15908864
portfolio2004.sas7bdat.bz2,32768,15941632
portfolio2005.sas7bdat.bz2,118784,16060416
prices.sas7bdat.bz2,4096,16064512
protein.sas7bdat.bz2,4096,16068608
rat.sas7bdat.bz2,8192,16076800
rduschedule.sas7bdat.bz2,4096,16080896
regsals.sas7bdat.bz2,4096,16084992
religion.sas7bdat.bz2,8192,16093184
salary1.sas7bdat.bz2,4096,16097280
salary2.sas7bdat.bz2,4096,16101376
salesbyday.sas7bdat.bz2,4096,16105472
ski.sas7bdat.bz2,4096,16109568
staffchanges.sas7bdat.bz2,4096,16113664
staffmaster.sas7bdat.bz2,4096,16117760
states.sas7bdat.bz2,4096,16121856
storage.sas7bdat.bz2,4096,16125952
stores.sas7bdat.bz2,4096,16130048
stress.sas7bdat.bz2,8192,16138240
students.sas7bdat.bz2,4096,16142336
supervisors.sas7bdat.bz2,4096,16146432
testans.sas7bdat.bz2,4096,16150528
test.sas7bdat.bz2,4096,16154624
todaysales.sas7bdat.bz2,4096,16158720
transact.sas7bdat.bz2,4096,16162816
turkey1.sas7bdat.bz2,4096,16166912
turkey2.sas7bdat.bz2,12288,16179200
unequal.sas7bdat.bz2,4096,16183296
usnavy.sas7bdat.bz2,4096,16187392
visits.sas7bdat.bz2,4096,16191488
wheat.sas7bdat.bz2,8192,16199680
xfrance2.sas7bdat.bz2,4096,16203776
xfrance.sas7bdat.bz2,24576,16228352
xoutline.sas7bdat.bz2,12288,16240640
ymcls_p2_long_040506.sas7bdat.bz2,1970176,18210816
yrbs05SAS.sas7bdat.bz2,667648,18878464
yrbscol.sas7bdat.bz2,151552,19030016
